epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,8167.83,0.39324,2.34631,0.17335,0.29926,0.96927,0.99467,1,0.99491,0.97956,0.97573,0.98095,0.98433,0.70028,0.25497,1.26956,0.08066,0.19157,0.81651,0.001882,0.001882,0.001882
84,8263.49,0.38992,2.27872,0.16997,0.2959,0.97066,0.99467,1,0.99491,0.98256,0.96623,0.97143,0.97294,0.69143,0.24371,1.32201,0.07357,0.19912,0.80914,0.001783,0.001783,0.001783
85,8358.43,0.38375,2.2555,0.16758,0.29536,0.96751,0.99438,1,0.99491,0.98055,0.97542,0.98095,0.98137,0.70474,0.24453,1.20711,0.06669,0.1967,0.81161,0.001684,0.001684,0.001684
86,8456.92,0.38174,2.23959,0.17014,0.29693,0.96795,0.99463,1,0.99491,0.98356,0.99463,1,0.99491,0.72634,0.2396,1.13675,0.07101,0.19169,0.81011,0.001585,0.001585,0.001585
87,8552.38,0.37811,2.19387,0.16601,0.28539,0.9641,0.99461,1,0.99491,0.98495,0.99461,1,0.99491,0.74182,0.23916,1.13406,0.07574,0.19274,0.81085,0.001486,0.001486,0.001486
88,8651.12,0.36573,2.0778,0.16501,0.2794,0.95418,0.99434,1,0.99491,0.98676,0.98958,0.99524,0.99437,0.7217,0.23934,1.14317,0.07225,0.19311,0.80879,0.001387,0.001387,0.001387
89,8746.6,0.37441,2.15045,0.16759,0.28817,0.96403,0.99479,1,0.99491,0.98448,0.99479,1,0.99491,0.7335,0.24336,1.12236,0.0626,0.18699,0.80928,0.001288,0.001288,0.001288
90,8843.12,0.36305,2.08746,0.16823,0.27925,0.96007,0.99466,1,0.99491,0.98163,0.98045,0.98571,0.98344,0.72909,0.24546,1.13308,0.07021,0.18638,0.80981,0.001189,0.001189,0.001189
91,8941.09,0.24741,1.12196,0.11046,0.20903,0.88286,0.99526,0.99901,0.995,0.98711,0.97628,0.97998,0.98432,0.73977,0.2366,1.09621,0.05274,0.18308,0.80665,0.00109,0.00109,0.00109
92,9037.01,0.2401,1.04069,0.10374,0.20116,0.87873,1,0.99485,0.995,0.98785,0.98086,0.97589,0.97271,0.75395,0.23204,1.03651,0.049,0.17807,0.80197,0.000991,0.000991,0.000991
93,9138.63,0.2287,0.9708,0.09668,0.19076,0.87566,0.99523,1,0.995,0.98759,0.97624,0.98095,0.98121,0.77129,0.2225,1.01523,0.04203,0.17385,0.79673,0.000892,0.000892,0.000892
94,9237,0.2217,0.93951,0.09423,0.18438,0.86842,0.99417,1,0.995,0.98615,0.96573,0.97143,0.97423,0.77463,0.22175,1.02428,0.04276,0.17148,0.79148,0.000793,0.000793,0.000793
95,9340.49,0.21611,0.8905,0.09048,0.18121,0.86248,0.99019,1,0.995,0.98776,0.97133,0.98095,0.98494,0.7804,0.21503,0.94021,0.0424,0.17139,0.79017,0.000694,0.000694,0.000694
96,9440.57,0.20513,0.8491,0.08478,0.17585,0.85582,0.99525,0.99803,0.995,0.98719,0.97626,0.97915,0.984,0.79588,0.21092,0.92084,0.0404,0.16689,0.78918,0.000595,0.000595,0.000595
97,9542.87,0.19892,0.82801,0.08831,0.17005,0.84902,0.99025,1,0.995,0.98977,0.98554,0.99524,0.99346,0.80701,0.2059,0.88257,0.04041,0.16196,0.78445,0.000496,0.000496,0.000496
98,9636.63,0.19628,0.79926,0.08714,0.16604,0.85203,0.99526,0.99898,0.995,0.98872,0.97628,0.97993,0.98508,0.80423,0.20822,0.88229,0.03928,0.15997,0.78741,0.000397,0.000397,0.000397
99,9730.53,0.19574,0.79428,0.08729,0.16377,0.85334,0.99526,0.9995,0.995,0.98954,0.99052,0.99474,0.99361,0.81072,0.20293,0.85442,0.03907,0.1598,0.78554,0.000298,0.000298,0.000298
100,9826.27,0.18935,0.7724,0.08569,0.16264,0.8526,0.99526,0.99977,0.995,0.99057,0.98578,0.99028,0.99247,0.80612,0.20113,0.85474,0.03845,0.15858,0.78354,0.000199,0.000199,0.000199
