epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,7712.6,0.59495,1.05216,0.52977,1.0229,0.86638,0.7129,0.82732,0.65745,0.86535,0.70942,0.81706,0.5871,0.62718,1.29497,0.52485,1.11732,0.000759318,0.000759318,0.000759318
57,7851.82,0.60044,1.06898,0.53708,1.02141,0.80022,0.74607,0.82142,0.65158,0.81894,0.72251,0.81205,0.58674,0.61961,1.29658,0.5226,1.11243,0.000742815,0.000742815,0.000742815
58,7987.73,0.58674,1.05121,0.51358,1.01929,0.8585,0.6911,0.81487,0.65393,0.83825,0.70543,0.81656,0.5999,0.6259,1.33506,0.52792,1.09676,0.000726312,0.000726312,0.000726312
59,8126.91,0.57121,1.01739,0.50261,1.00991,0.88405,0.69634,0.82915,0.65839,0.87147,0.70998,0.82984,0.59355,0.60858,1.34714,0.48639,1.09047,0.000709809,0.000709809,0.000709809
60,8265.55,0.56961,1.00005,0.50022,1.00519,0.85754,0.69333,0.80103,0.63954,0.85456,0.68586,0.79857,0.58659,0.60707,1.27575,0.5789,1.06437,0.000693305,0.000693305,0.000693305
61,8401.52,0.57516,1.0283,0.51194,1.00511,0.8293,0.73822,0.82474,0.66326,0.83388,0.72276,0.82661,0.58982,0.59337,1.24165,0.5131,1.09119,0.000676802,0.000676802,0.000676802
62,8545.97,0.56715,1.01687,0.49883,1.01048,0.84693,0.7242,0.8113,0.65173,0.84395,0.72203,0.81053,0.58906,0.61379,1.26793,0.5408,1.10869,0.000660299,0.000660299,0.000660299
63,8681.95,0.5701,0.99956,0.5001,1.0015,0.8244,0.74084,0.80956,0.6462,0.82731,0.74346,0.81089,0.58888,0.59751,1.23482,0.49791,1.08787,0.000643795,0.000643795,0.000643795
64,8817.77,0.57349,1.02304,0.49391,0.99623,0.85609,0.70942,0.811,0.65443,0.84977,0.70419,0.80467,0.59168,0.58563,1.31976,0.51149,1.07183,0.000627292,0.000627292,0.000627292
65,8953.09,0.54191,0.96891,0.4702,0.98685,0.78532,0.76608,0.82749,0.66572,0.77931,0.76726,0.82583,0.59945,0.57586,1.29676,0.48557,1.0796,0.000610789,0.000610789,0.000610789
66,9093.72,0.53212,0.94485,0.47554,0.98028,0.82462,0.72513,0.82262,0.66397,0.83792,0.71729,0.81418,0.59779,0.57562,1.2477,0.49114,1.05771,0.000594286,0.000594286,0.000594286
67,9234.7,0.53068,0.97133,0.46772,0.98262,0.80484,0.74607,0.8188,0.66748,0.80192,0.74187,0.81298,0.59786,0.57103,1.25907,0.49353,1.06291,0.000577782,0.000577782,0.000577782
68,9370.06,0.52956,0.94682,0.46517,0.98036,0.82495,0.71553,0.8199,0.66326,0.82806,0.71728,0.81807,0.60707,0.56924,1.24745,0.49062,1.07085,0.000561279,0.000561279,0.000561279
69,9509.86,0.54522,0.96155,0.47912,0.99024,0.82711,0.72775,0.81554,0.65918,0.82861,0.71466,0.79887,0.59262,0.58217,1.30332,0.50753,1.08212,0.000544776,0.000544776,0.000544776
70,9645.28,0.54026,0.94337,0.46675,0.99226,0.83652,0.73298,0.82235,0.65981,0.83195,0.72574,0.81733,0.60029,0.57908,1.26287,0.48521,1.06831,0.000528272,0.000528272,0.000528272
71,9780.79,0.51848,0.91482,0.45687,0.97568,0.83868,0.72251,0.82142,0.67054,0.82963,0.74084,0.82774,0.59682,0.5742,1.24772,0.48546,1.06728,0.000511769,0.000511769,0.000511769
72,9920.48,0.51734,0.89658,0.44786,0.97307,0.82531,0.74084,0.81216,0.66157,0.82491,0.71532,0.80449,0.58918,0.58433,1.34294,0.49978,1.07987,0.000495266,0.000495266,0.000495266
73,10055.7,0.51552,0.91698,0.45453,0.97486,0.83551,0.71803,0.81351,0.66004,0.83856,0.72065,0.80923,0.59202,0.6112,1.28262,0.51099,1.11658,0.000478762,0.000478762,0.000478762
74,10191,0.51004,0.91901,0.44457,0.97385,0.8588,0.73244,0.82201,0.66336,0.83487,0.74114,0.81865,0.5934,0.58587,1.26596,0.47325,1.09303,0.000462259,0.000462259,0.000462259
75,10326.6,0.51438,0.92008,0.45235,0.97262,0.82721,0.7645,0.82293,0.66998,0.82427,0.76178,0.81725,0.59634,0.57786,1.29629,0.46308,1.07487,0.000445756,0.000445756,0.000445756
76,10461.9,0.50197,0.89748,0.43606,0.96977,0.81587,0.75131,0.81696,0.66848,0.82105,0.7447,0.81215,0.60131,0.57036,1.22845,0.47711,1.07622,0.000429253,0.000429253,0.000429253
77,10601,0.49549,0.89174,0.4307,0.96301,0.85886,0.71728,0.81507,0.66767,0.85259,0.71204,0.8118,0.60586,0.56901,1.31187,0.49928,1.07769,0.000412749,0.000412749,0.000412749
78,10740.6,0.503,0.88874,0.43086,0.96273,0.8148,0.72513,0.81864,0.66618,0.81186,0.72251,0.81344,0.60641,0.58935,1.21279,0.48833,1.08896,0.000396246,0.000396246,0.000396246
79,10876.8,0.49924,0.87723,0.42349,0.96294,0.8227,0.71728,0.80862,0.66447,0.82276,0.71697,0.80853,0.60163,0.57799,1.26028,0.48642,1.08346,0.000379743,0.000379743,0.000379743
80,11013.5,0.49827,0.87168,0.42591,0.96032,0.8697,0.69895,0.80656,0.65987,0.88427,0.68009,0.79917,0.59491,0.57553,1.28951,0.48871,1.0907,0.000363239,0.000363239,0.000363239
81,11150.2,0.48954,0.86067,0.42199,0.95399,0.80967,0.72513,0.80816,0.6619,0.83,0.70419,0.80409,0.59411,0.56757,1.21237,0.50164,1.08593,0.000346736,0.000346736,0.000346736
82,11290.1,0.47292,0.85564,0.40489,0.95173,0.82843,0.72775,0.81162,0.66261,0.81787,0.71709,0.80706,0.59796,0.58415,1.29991,0.50455,1.08551,0.000330233,0.000330233,0.000330233
83,11426.5,0.47,0.85783,0.40998,0.95428,0.84888,0.70419,0.81314,0.6685,0.84888,0.70419,0.81249,0.60472,0.56241,1.24446,0.50286,1.07673,0.000313729,0.000313729,0.000313729
84,11563,0.464,0.83433,0.40068,0.94469,0.85267,0.71728,0.81486,0.67375,0.81552,0.73822,0.81266,0.59789,0.53659,1.28318,0.47924,1.0505,0.000297226,0.000297226,0.000297226
85,11699.4,0.47145,0.84711,0.40902,0.9497,0.84789,0.73037,0.81285,0.6757,0.84748,0.72513,0.80867,0.61171,0.55668,1.26315,0.49159,1.07958,0.000280723,0.000280723,0.000280723
86,11839.7,0.46471,0.85348,0.39882,0.94881,0.81153,0.74393,0.81804,0.66895,0.80296,0.73607,0.8078,0.60336,0.54809,1.27975,0.47697,1.06679,0.00026422,0.00026422,0.00026422
87,11980.4,0.46759,0.83566,0.39401,0.94544,0.84412,0.73298,0.8123,0.66225,0.84753,0.72513,0.80679,0.60177,0.5758,1.25164,0.51288,1.08938,0.000247716,0.000247716,0.000247716
88,12116.2,0.45876,0.82829,0.39552,0.94681,0.82956,0.74084,0.81571,0.66483,0.82458,0.73298,0.80595,0.60515,0.57912,1.28188,0.49785,1.08814,0.000231213,0.000231213,0.000231213
89,12252.3,0.45327,0.80748,0.38558,0.94156,0.84861,0.70157,0.8088,0.66582,0.84861,0.70157,0.80655,0.60249,0.55514,1.25271,0.51788,1.06786,0.00021471,0.00021471,0.00021471
90,12388.6,0.44993,0.80253,0.37815,0.94382,0.80718,0.75131,0.80857,0.66513,0.80718,0.75131,0.81188,0.60293,0.54787,1.26098,0.51084,1.06319,0.000198206,0.000198206,0.000198206
91,12524.5,0.36868,0.73318,0.30717,0.89405,0.86013,0.70831,0.81496,0.6701,0.85388,0.70368,0.80899,0.61155,0.55487,1.27582,0.4931,1.08643,0.000181703,0.000181703,0.000181703
92,12664,0.35682,0.71337,0.29796,0.88334,0.80149,0.74607,0.81134,0.6675,0.79823,0.74084,0.81057,0.61087,0.54958,1.29208,0.52318,1.06714,0.0001652,0.0001652,0.0001652
93,12800.4,0.35151,0.70294,0.29582,0.88482,0.82171,0.72513,0.80878,0.6721,0.81874,0.72251,0.8044,0.60914,0.56677,1.26715,0.53289,1.07505,0.000148696,0.000148696,0.000148696
94,12937,0.3529,0.69483,0.28989,0.87781,0.82,0.7356,0.81502,0.67703,0.84611,0.71965,0.81055,0.6143,0.55379,1.30699,0.5029,1.0695,0.000132193,0.000132193,0.000132193
95,13077.5,0.33921,0.68598,0.27951,0.8754,0.84022,0.72775,0.81632,0.67428,0.83731,0.72754,0.80961,0.61132,0.55055,1.2725,0.50382,1.08163,0.00011569,0.00011569,0.00011569
96,13213.6,0.336,0.68054,0.2792,0.87143,0.81489,0.7356,0.81347,0.67915,0.80909,0.73037,0.8078,0.61374,0.54053,1.26861,0.49473,1.07492,9.91865e-05,9.91865e-05,9.91865e-05
97,13357.7,0.33266,0.66477,0.27245,0.87084,0.81034,0.7356,0.81458,0.67987,0.80745,0.73298,0.80942,0.61337,0.54853,1.23906,0.48949,1.07816,8.26832e-05,8.26832e-05,8.26832e-05
98,13498.5,0.32489,0.66486,0.26581,0.86665,0.80451,0.74335,0.81854,0.67993,0.78798,0.75393,0.81489,0.6152,0.54515,1.24657,0.49689,1.08392,6.61799e-05,6.61799e-05,6.61799e-05
99,13639.8,0.31964,0.66615,0.26477,0.85935,0.81769,0.73298,0.81349,0.67966,0.81718,0.72549,0.8104,0.61625,0.52799,1.22862,0.49384,1.06669,4.96766e-05,4.96766e-05,4.96766e-05
100,13775.8,0.31611,0.65537,0.2576,0.86501,0.83537,0.72513,0.81343,0.67933,0.83236,0.72251,0.80775,0.61488,0.5271,1.22011,0.48671,1.06577,3.31733e-05,3.31733e-05,3.31733e-05
